,1-4 family residential loans,Allowance for loan losses,AsOfDate,Available-for-sale Fair Value,Commercial and industrial loans,Credit cards,Net Income before,Number of full-time employees,Other real estate loans,Target,Total assets,Total equity capital,Total loans,Total noninterest expense,Total nontransaction deposits,Total transaction deposits
2587916,17156.0,3502.0,,8597.0,15208.0,0.0,-88.0,31.0,68338.0,,140324.0,11468,106921.0,3361.0,92365.0,34118.0
2587998,7335.0,1797.0,,36.0,5435.0,0.0,-1080.0,15.0,29819.0,,46590.0,1330,45250.0,2468.0,33804.0,11321.0
2594240,15162.0,2200.0,,81052.0,15128.0,0.0,954.0,13.0,30705.0,,158752.0,17730,63657.0,2250.0,104354.0,9413.0
2594419,54316.0,2192.0,,26597.0,6741.0,0.0,253.0,37.0,39167.0,,197047.0,17802,106994.0,4495.0,89183.0,82956.0
2594428,15583.0,2059.0,,5785.0,8214.0,0.0,-1479.0,18.0,36665.0,,80405.0,6488,61056.0,2348.0,58571.0,15185.0
2595975,6888.0,4014.0,,69472.0,0.0,0.0,-3017.0,40.0,158236.0,,304531.0,20527,165130.0,6930.0,269721.0,6400.0
2596262,153977.0,24705.0,,322928.0,108354.0,0.0,-5362.0,187.0,677081.0,,1412255.0,119824,942052.0,35583.0,1098526.0,81151.0
2596646,144945.0,7259.0,,122147.0,70013.0,1593.0,3540.0,217.0,281560.0,,728705.0,66045,539469.0,14984.0,454106.0,127751.0
2596785,57487.0,4344.0,,53907.0,23981.0,1833.0,337.0,91.0,47909.0,,235088.0,23640,140064.0,6693.0,111385.0,97631.0
2597223,0.0,0.0,,11915.0,0.0,0.0,981.0,31.0,0.0,,15235.0,13830,0.0,6149.0,0.0,0.0
2597698,19693.0,5170.0,,38488.0,59407.0,0.0,35.0,45.0,109562.0,,264691.0,40053,194762.0,4926.0,128708.0,92500.0
2598396,39778.0,4966.0,,11538.0,16286.0,0.0,-833.0,28.0,40572.0,,127659.0,12857,99183.0,2708.0,86933.0,21941.0
2599478,6104.0,1364.0,,1558.0,18039.0,0.0,-135.0,31.0,43836.0,,113466.0,9932,72849.0,3366.0,72393.0,30304.0
2600039,0.0,0.0,,12566.0,0.0,0.0,1079.0,75.0,0.0,,21125.0,21103,0.0,5453.0,0.0,0.0
2602828,4689.0,366.0,,5347.0,5535.0,0.0,-69.0,12.0,12097.0,,40188.0,4581,27230.0,1050.0,25896.0,9570.0
2605566,0.0,0.0,,19750.0,0.0,0.0,2886.0,95.0,0.0,,28102.0,8122,8979.0,7771.0,500.0,589.0
2607412,17375.0,756.0,,5036.0,3118.0,0.0,1443.0,10.0,29822.0,,66558.0,26620,50390.0,858.0,35669.0,4155.0
2607449,172140.0,15390.0,,77068.0,26776.0,0.0,-12910.0,138.0,165292.0,,585771.0,15562,376568.0,16413.0,423906.0,87523.0
