,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
473930,32725,336701.0,172059.0,55453.0,76216.0,13716.0,0.0,1665.0,11382.0,2813.0,134449.0,163583.0,119693.0,138.0,12/31/2011,0
474058,22502,182903.0,110591.0,84221.0,19194.0,3323.0,0.0,2009.0,6855.0,1011.0,62833.0,97065.0,0.0,69.0,12/31/2011,0
474245,5783,66456.0,52006.0,24122.0,15544.0,3251.0,0.0,850.0,1686.0,434.0,21142.0,38585.0,8065.0,22.0,12/31/2011,0
474254,319528,2465755.0,1109474.0,200652.0,470345.0,175117.0,0.0,16310.0,75655.0,29633.0,251623.0,1834083.0,914621.0,628.0,12/31/2011,0
474357,9886,69386.0,40170.0,14158.0,12827.0,2874.0,0.0,584.0,1962.0,774.0,13026.0,41894.0,22375.0,16.0,12/31/2011,0
474450,7120,63079.0,47090.0,5056.0,6579.0,4350.0,0.0,247.0,1871.0,974.0,30069.0,24419.0,1752.0,19.0,12/31/2011,0
474544,4208,52984.0,36570.0,12306.0,13474.0,4458.0,0.0,205.0,1563.0,563.0,15956.0,32638.0,0.0,17.0,12/31/2011,0
474656,3295,21886.0,5401.0,1402.0,1521.0,858.0,0.0,176.0,745.0,228.0,8215.0,10247.0,12478.0,9.0,12/31/2011,0
474759,175553,1733783.0,854629.0,313024.0,371614.0,120645.0,8720.0,11670.0,46845.0,21750.0,261182.0,1038412.0,660593.0,452.0,12/31/2011,0
474777,8220,76659.0,58384.0,49997.0,5350.0,180.0,0.0,590.0,2767.0,558.0,7834.0,46716.0,6825.0,21.0,12/31/2011,0
474919,1054514,9041660.0,6871572.0,1715923.0,3340829.0,1066485.0,10.0,116849.0,225654.0,119531.0,1334479.0,5365805.0,1167118.0,1372.0,12/31/2011,0
