,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
3932,233669,53740,140206,5159,157160,0,2616,0,17658,5863,836,0,9/30/2010
3933,116501,11655,90490,1183,87089,0,0,0,11392,2108,498,0,9/30/2010
3934,213389,24237,172349,2073,134079,0,0,0,14544,2577,1397,0,9/30/2010
3935,44194,16786,22603,295,17692,0,0,0,4726,1182,183,0,9/30/2010
3936,61511,12464,35842,1216,37256,0,31,0,9994,1761,-30,0,9/30/2010
3937,243734,42460,156226,2067,116974,0,145,0,26765,3743,2030,0,9/30/2010
3938,55956,14406,32318,842,40620,0,0,0,4700,688,305,0,9/30/2010
3939,296967,85474,184903,2309,207408,0,18,0,22091,7193,854,0,9/30/2010
3940,34924,6805,22605,242,20654,0,0,0,5034,747,425,0,9/30/2010
3941,1929459,4959,0,0,0,0,0,0,52557,15106,4573,0,9/30/2010
3942,65349,13110,41168,373,35207,0,445,0,10609,2587,-1392,0,9/30/2010
3943,659584,67876,492232,8329,522898,0,2559,0,69951,11359,5884,0,9/30/2010
3944,507434,82979,339065,3191,260021,0,0,0,82303,5215,7938,0,9/30/2010
3945,10888,0,2000,0,126,0,0,0,8435,2068,363,0,9/30/2010
3946,155922,24538,110917,1753,102392,0,385,488,16772,2839,483,0,9/30/2010
3947,388414,26352,283278,4504,243351,0,1911,0,29913,7977,2008,0,9/30/2010
3948,848637,91289,590420,14605,380917,0,827,0,98713,12825,4924,0,9/30/2010
3949,164587,34983,107956,1840,103551,0,935,0,13390,4014,399,0,9/30/2010
3950,48212,3500,37704,592,35456,0,204,0,6826,1410,176,0,9/30/2010
3951,1684958,213830,1094280,12450,869815,0,456,0,167102,26119,14781,0,9/30/2010
3952,346549,13790,277440,7177,226388,0,1032,0,30347,10312,-815,0,9/30/2010
3953,51246,9886,37975,723,43671,0,201,0,2109,2810,-1661,0,9/30/2010
3954,202549,4377,156489,3244,126016,0,5067,1561,9417,7610,-6594,0,9/30/2010
3955,258571,15886,214838,5886,218793,0,3753,0,24966,5316,-1898,0,9/30/2010
3956,262276,65022,169546,3074,140605,0,0,0,25152,6140,500,0,9/30/2010
3957,601088,228233,310534,6764,331327,0,1647,0,52347,27955,623,0,9/30/2010
3958,226837,47768,150789,2964,159001,0,0,0,24397,4919,1126,0,9/30/2010
3959,95146,25646,56550,627,79453,0,64,0,8812,2813,286,0,9/30/2010
3960,252744,20450,193100,8640,233102,0,6182,0,2571,8568,-10207,0,9/30/2010
